"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Microsoft","MSFT","3895798530048","524.11","United States"
"2","Tencent","TCEHY","615467319296","67.85","China"
"3","Sony","SONY","146517311488","24.37","Japan"
"4","Nintendo","7974.T","100683092936","86.1881","Japan"
"5","Sea Limited","SE","91295399936","154.21","Singapore"
"6","Roblox","RBLX","86676668416","125.03","United States"
"7","NetEase","NTES","81297113088","127.31","China"
"8","Take-Two Interactive","TTWO","40689733632","220.58","United States"
"9","Electronic Arts","EA","39469805568","157.08","United States"
"10","Aristocrat","ALL.AX","27547045632","44.246","Australia"
"11","Bandai Namco","7832.T","21395143094","33.0473","Japan"
"12","Konami Holdings","9766.T","20656812937","152.385","Japan"
"13","Nexon","3659.T","15158630196","18.9852","Japan"
"14","Zhejiang Century Huatong","002602.SZ","13321614572","1.78752","China"
"15","Unity Software","U","13231571968","31.83","United States"
"16","Capcom","9697.T","11208838991","26.7982","Japan"
"17","Krafton","259960.KS","10096114338","226.254","South Korea"
"18","GameStop","GME","9886126080","22.1","United States"
"19","Square Enix","9684.T","8619016744","71.7385","Japan"
"20","Entain","ENT.L","8539261769","13.3521","Isle of Man"
"21","International Games System","3293.TWO","7370336615","26.1543","Taiwan"
"22","CD Projekt","CDR.WA","6715416032","67.2143","Poland"
"23","Giant Network Group","002558.SZ","6471435663","3.34484","China"
"24","Kunlun Tech","300418.SZ","6281065473","5.0034","China"
"25","Kingsoft","3888.HK","6025437282","4.33176","China"
"26","Kingnet Network","002517.SZ","5389170020","2.5225","China"
"27","CyberAgent","4751.T","5348748340","10.5602","Japan"
"28","37 Interactive Entertainment","002555.SZ","5058844787","2.28675","China"
"29","Sega Sammy Holdings","6460.T","4357940004","20.7396","Japan"
"30","Koei Tecmo","3635.T","4355617799","13.7901","Japan"
"31","Perfect World Entertainment","002624.SZ","3941224015","2.03159","China"
"32","Kadokawa","9468.T","3712977326","25.3363","Japan"
"33","Netmarble","251270.KS","3507196710","42.8048","South Korea"
"34","G-bits Network Technology","603444.SS","3476626711","48.2589","China"
"35","XD Inc.","2400.HK","3278739204","6.72697","China"
"36","Zhejiang Jinke Tom Culture Industry","300459.SZ","2779065044","0.790448","China"
"37","NCsoft","036570.KS","2691299246","138.774","South Korea"
"38","Embracer Group","EMBRAC-B.ST","2371645675","10.539","Sweden"
"39","Ourpalm","300315.SZ","2068884396","0.7641","China"
"40","YOOZOO Interactive","002174.SZ","1868832137","2.00108","China"
"41","Hangzhou Shunwang Technology","300113.SZ","1860798017","2.72219","China"
"42","Paradox Interactive","PDX.ST","1789205127","16.9395","Sweden"
"43","DeNA","2432.T","1788466128","16.0545","Japan"
"44","SHIFT UP","462870.KS","1733465942","29.6396","South Korea"
"45","Pearl Abyss","263750.KQ","1718822404","27.985","South Korea"
"46","Playtech","PTEC.L","1655126742","5.38734","Isle of Man"
"47","Spin Master","TOY.TO","1623413525","16.0388","Canada"
"48","Playtika","PLTK","1602176512","4.27","Israel"
"49","Tianyu Digital Technology (Dalian)","002354.SZ","1509783755","0.912482","China"
"50","Mixi","2121.T","1452568162","21.4875","Japan"
"51","Nazara Technologies","NAZARA.NS","1416773373","15.2955","India"
"52","Ubisoft","UBI.PA","1342443786","10.1241","France"
"53","Modern Times Group (MTG)","MTG-B.ST","1277505315","10.3462","Sweden"
"54","Shenzhen Bingchuan Network","300533.SZ","1134089747","4.83699","China"
"55","GungHo Online Entertainment","3765.T","1093106567","20.1752","Japan"
"56","Kakao Games","293490.KQ","997107661","12.158","South Korea"
"57","Corsair Gaming","CRSR","906885952","8.57","United States"
"58","Happinet","7552.T","850593125","38.7592","Japan"
"59","Sun Corp","6736.T","825208352","37.0592","Japan"
"60","DoubleUGames","192080.KS","788728051","39.7833","South Korea"
"61","Huya","HUYA","768874432","3.44","China"
"62","Hangzhou Electronic Soul Network Technology","603258.SS","768143981","3.14792","China"
"63","Wemade","112040.KQ","739253070","21.906","South Korea"
"64","everplay group plc","EVPL.L","733154254","5.08842","United Kingdom"
"65","NetDragon Websoft","0777.HK","721526788","1.35813","China"
"66","Sichuan Xunyou Network Technology","300467.SZ","669826080","3.29631","China"
"67","NHN Corp","181710.KS","653853869","20.5751","South Korea"
"68","Nat Games (Nexon Games)","225570.KQ","631912843","9.89907","South Korea"
"69","Boyaa Interactive","0434.HK","614218855","0.914766","China"
"70","Gree","3632.T","584607353","3.41353","Japan"
"71","IGG Inc","0799.HK","584305830","0.517263","Singapore"
"72","GuangZhou Wahlap Technology","301011.SZ","551079052","3.75671","China"
"73","Soft-World International","5478.TWO","496362086","3.31288","Taiwan"
"74","PlayWay","PLW.WA","489214684","74.1234","Poland"
"75","Sohu.com","SOHU","463007136","15.4","China"
"76","DoubleDown Interactive","DDI","456386816","9.21","United States"
"77","COLOPL","3668.T","455943395","3.54952","Japan"
"78","Gravity Co.","GRVY","428260704","61.63","South Korea"
"79","Kaiser (China) Culture","002425.SZ","403303461","0.421572","China"
"80","Shen Zhen Shengxunda Technology (gamexun)","300518.SZ","385766019","1.93452","China"
"81","Gamania Digital","6180.TWO","377197644","2.14935","Taiwan"
"82","Shenzhen Zqgame","300052.SZ","375842899","1.43529","China"
"83","Neowiz Games","095660.KQ","346644452","17.4097","South Korea"
"84","Devsisters","194480.KQ","332801450","30.5749","South Korea"
"85","Bank of Innovation","4393.T","327271890","82.3462","Japan"
"86","Zengame Technology","2660.HK","318669838","0.30832","China"
"87","Qingci Games","6633.HK","314441060","0.454835","China"
"88","Com2uS","078340.KQ","314298137","27.5174","South Korea"
"89","Webzen","069080.KQ","307610592","10.5106","South Korea"
"90","Bushiroad","7803.T","305510326","4.5151","Japan"
"91","Akatsuki Inc","3932.T","293177038","20.3316","Japan"
"92","Huuuge","HUG.WA","292079298","5.20632","United States"
"93","Stillfront Group","SF.ST","283253333","0.546855","Sweden"
"94","iDreamSky","1119.HK","267853871","0.151612","China"
"95","Nexters","GDEV","261073440","14.4","Cyprus"
"96","Remedy Entertainment","REMEDY.HE","255947236","18.7638","Finland"
"97","Inspired Entertainment","INSE","235481744","8.75","United States"
"98","BAIOO Family Interactive","2100.HK","226480500","0.078991","China"
"99","Pullup Entertainment","ALPUL.PA","226316508","27.1367","France"
"100","7Road","0797.HK","226302239","0.0879093","China"
"101","Gaming Realms","GMR.L","210757699","0.71477","United Kingdom"
"102","X-Legend Entertainment","4994.TW","209903588","3.16199","Taiwan"
"103","Golden Matrix Group","GMGI","208327760","1.48","United States"
"104","Marvelous","7844.T","205944438","3.39993","Japan"
"105","gumi","3903.T","203938940","4.12071","Japan"
"106","Digital Bros","DIB.MI","203809352","14.2874","Italy"
"107","Homeland Interactive Technology","3798.HK","192943293","0.150338","China"
"108","FuRyu","6238.T","191034404","7.21464","Japan"
"109","FriendTimes","6820.HK","190105229","0.0904574","China"
"110","CMGE Technology Group","0302.HK","188906605","0.0630654","China"
"111","Frontier Developments","FDEV.L","188628791","4.94227","United Kingdom"
"112","Archosaur Games","9990.HK","175928589","0.22041","China"
"113","Azerion Group","AZRN.AS","175717096","1.35684","Netherlands"
"114","Ateam","3662.T","172843478","8.11902","Japan"
"115","Userjoy Technology","3546.TWO","165742862","2.83674","Taiwan"
"116","Bloober Team","6BO.SG","161473366","7.90908","Poland"
